ZONA,PARTIDO,ORDEN N°,PLAZO,EXPEDIENTE,EMPRESA,CAUCE,SITIO A INTERVENIR,COORDENADA DE INICIO,COORDENADAS DE FINALIZACIÓN,COORDENADAS POLARES INICIO,COORDENADAS POLARES FINAL,METROS,TIPO DE CAUCE,MAPS,IFRAME,FICHA,F. INICIO,F. FINAL,ESTADO,RETROEXCAVADORA CON BRAZO LARGO,RETROEXCAVADORA CON BRAZO CORTO,RETROEXCAVADORA CON TRITURADORA FLORESTAL,PALA CARGADORA FRONTAL,RETROPALA,EXCAVADORA TIPO ARAÑA EXTENSIBLE,RETROEXCAVADORA ANFIBIA,TOPADORA,MOTONIVELADORA,CAMIÓN TATU,TOTAL HORAS,VALOR LAR,VALOR COR,VALOR FOR,VALOR CAR,VALOR RET,VALOR ARA,VALOR ANF,VALOR TOP,VALOR MOT,VALOR CAM,INVERSIÓN PROGRAMADA
Zona 1,San Andrés de Giles,1,25,EX-2025-23516309- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Afluente del Arroyo de Giles,Desde su desembocadura en el Arroyo de Giles hasta la Av. Scully,"-34.406667, -59.426389","-34.444542, -59.435011","34°24'24.0""S 59°25'35.0""W","34°26'40.4""S 59°26'06.0""W",5300,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1cRPJg8zI3qPRXNMPS4q77zwPJsOmGRI&usp=sharing,https://www.google.com/maps/d/embed?mid=1cRPJg8zI3qPRXNMPS4q77zwPJsOmGRI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1VGaUx7AsSiVJ0Xs-ZEwb3V15a7plgEym/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,27,106,,,,,,,,20,153,"$4.467.245,58","$17.119.100,70",,,"$0,00",,,"$0,00","$0,00","$2.390.107,60","$23.976.453,88"
Zona 1,San Andrés de Giles,1,25,EX-2025-23516309- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal Scully,Paralelo a Av. Lucas Scully desde C. 41 hasta rotonda de acceso a Colectora de Ruta Nacional N° 7,"-34.447017, -59.432207","-34.459000, -59.416694","34°26'49.3""S 59°25'56.0""W","34°27'32.4""S 59°25'00.1""W",1950,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1I6kF4SpgbdJNVBj0FxGkLKcKxD9EqFY&usp=sharing,https://www.google.com/maps/d/embed?mid=1I6kF4SpgbdJNVBj0FxGkLKcKxD9EqFY&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1gftAe4QTAyhkovpgHlNfn3ZCQ4a6D-kW/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,,53,,,,,,,,20,73,"$0,00","$8.559.550,35",,,"$0,00",,,"$0,00","$0,00","$2.390.107,60","$10.949.657,95"
Zona 1,San Andrés de Giles,1,25,EX-2025-23516309- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Arroyo de Giles,Desde Puente en zona urbana hasta su confluencia con su afluente,"-34.373333, -59.398333","-34.436111, -59.448889","34°22'24.0""S 59°23'54.0""W","34°26'10.0""S 59°26'56.0""W",4000,Arroyo,https://www.google.com/maps/d/edit?mid=1oE_Af0UqzbYaT-_2lXG4PLDCq3xyFoA&usp=sharing,https://www.google.com/maps/d/embed?mid=1oE_Af0UqzbYaT-_2lXG4PLDCq3xyFoA&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1Z1ZMdpd9izXDZjJR2UoZEMOruVAApixf/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,107,,,,,,,,,13,120,"$17.703.528,78","$0,00",,,"$0,00",,,"$0,00","$0,00","$1.553.569,94","$19.257.098,72"
Zona 1,Exaltación de la Cruz,1,25,EX-2025-23516309- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Zanjón paraleo a Av. Robles,Desde la Colectora Sur de la Ruta Nacional N° 8 hasta la calle Jardín,"-34.376667, -59.116111","-34.388728, -59.102908","34°22'36.0""S 59°06'58.0""W","34°23'19.4""S 59°06'10.5""W",1870,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=12AJLZBtJOVbfD8Q1syPmvp2awWb5nXA&usp=sharing,https://www.google.com/maps/d/embed?mid=12AJLZBtJOVbfD8Q1syPmvp2awWb5nXA&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1I_q4ut_NSonM43X2MEQJDyHuGTz7hnR8/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,,,,,80,,,,,60,140,"$0,00","$0,00",,,"$8.580.548,80",,,"$0,00","$0,00","$7.170.322,80","$15.750.871,60"
Zona 1,Salto,2,25,EX-2025-27314103- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Arroyo del Burro,Desde los límites hacia el sur del Frigorífico de aves Soychú hasta el predio anterior a la Ruta Provincial N° 31,"-34.295872, -60.221550","-34.335278, -60.215278","34°17'45.1""S 60°13'17.6""W","34°20'07.0""S 60°12'55.0""W",3050,Arroyo,https://www.google.com/maps/d/edit?mid=1YLwg8ZNoLgrOg-padYr2W-rO3FrmwhY&usp=sharing,https://www.google.com/maps/d/embed?mid=1YLwg8ZNoLgrOg-padYr2W-rO3FrmwhY&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1fwH7BXbVxTon30YRq2fIGBwZJkJXdzsu/view?usp=drive_link,13/9/2025,7/10/2025,Finalizado,80,240,,,125,,,50,,,495,"$13.236.283,20","$38.760.228,00",,,"$13.407.107,50",,,"$8.023.093,50","$0,00","$0,00","$73.426.712,20"
Zona 1,San Antonio de Areco,3,35,EX-2025-33760818- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal de desagüe de la cuenca urbana,Desde su desembocadura en el Río Areco hasta Posta de Morales y Ernesto Ftte,"-34.249917, -59.447581","-34.251715, -59.455621","34°14'59.7""S 59°26'51.3""W","34°15'06.2""S 59°27'20.2""W",820,Canal sin revestir,https://www.google.com/maps/d/edit?mid=19TJHZisbevniuUtqb1c5-1vv3w_rJ9g&usp=sharing,https://www.google.com/maps/d/embed?mid=19TJHZisbevniuUtqb1c5-1vv3w_rJ9g&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1ngvXxMeVXOnjaYkAkI2_D0M7Z9VMGfcY/view?usp=drive_link,24/10/2025,28/11/2025,En ejecución,,20,,,,,,,,,20,"$0,00","$3.230.019,00",,,"$0,00",,,"$0,00","$0,00","$0,00","$3.230.019,00"
Zona 1,Rojas,3,35,EX-2025-33760818- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal Rural La Brava y afluentes,Desde su desembocadura en la laguna La Brava en el partido de Junín hasta los límites de las parcelas con denominación catastral XI 1063B y 1063C,"-34.467251, -60.752799","-34.394122, -60.752574","34°28'02.1""S 60°45'10.1""W","34°23'38.8""S 60°45'09.3""W",11200,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1Ut5ZEtuketblIV8-VGckHr4ANSSRkbc&usp=sharing,https://www.google.com/maps/d/embed?mid=1Ut5ZEtuketblIV8-VGckHr4ANSSRkbc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1CTIhS_THNwzmgKPxi6Wb_y2Y_CCI-L4F/view?usp=drive_link,24/10/2025,28/11/2025,En ejecución,100,320,,,,,,50,80,80,630,"$16.545.354,00","$51.680.304,00",,,"$0,00",,,"$8.023.093,50","$10.569.276,00","$9.560.430,40","$96.378.457,90"
Zona 1,Pergamino,3,35,EX-2025-33760818- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal Rural afluente del Arroyo Pergamino,Desde su desembocadura en el Arroyo Pergamino hasta el final de la parcela con denominación catastral XII 1609 T,"-33.885806, -60.702142","-33.805737, -60.731376","33°53'08.9""S 60°42'07.7""W","33°48'20.7""S 60°43'53.0""W",12000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1AdksPGQJ88C1-Al-jZB6ftzvfLiIxXk&usp=sharing,https://www.google.com/maps/d/embed?mid=1AdksPGQJ88C1-Al-jZB6ftzvfLiIxXk&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1N89SynTlc7RIdWL0c12Z-BHLQhGpfq6-/view?usp=drive_link,24/10/2025,28/11/2025,En ejecución,100,350,,,,,,50,80,80,660,"$16.545.354,00","$56.525.332,50",,,"$0,00",,,"$8.023.093,50","$10.569.276,00","$9.560.430,40","$101.223.486,40"
Zona 2 (norte),General RodrÍguez,1,20,EX-2025-21481936- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Arroyo de las Palomas,Desde Figueroa Alcorta hasta Juan José Castro,"-34.568297, -58.969317","-34.582978, -58.974407","34°34'05.9""S 58°58'09.5""W","34°34'58.7""S 58°58'27.9""W",1760,Arroyo,https://www.google.com/maps/d/edit?mid=1-fL9BD4R5JAgoeQysruQ94bn_YUf4jk&usp=sharing,https://www.google.com/maps/d/embed?mid=1-fL9BD4R5JAgoeQysruQ94bn_YUf4jk&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1LJFAXkhUG9DSXjOdU7boNq0ZDAUoITGq/view?usp=drive_link,31/7/2025,20/8/2025,Finalizado,,50,,30,15,,,,,15,110,"$0,00","$9.819.000,00",,"$5.066.580,00","$2.209.275,00","$0,00","$0,00",,,"$2.356.560,00","$19.451.415,00"
Zona 2 (norte),General RodrÍguez,1,20,EX-2025-21481936- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Arroyo Carabassa,Desde los límites con el partido de Luján paralelo a calle El Carpincho hasta la Av. José Dalco Domenech,"-34.544552, -58.955957","-34.566476, -58.937013","34°32'40.4""S 58°57'21.5""W","34°33'59.3""S 58°56'13.3""W",3180,Arroyo,https://www.google.com/maps/d/edit?mid=1W5Ue8wxEOh2bjMrbtG8HcwuhTs3-HXI&usp=sharing,https://www.google.com/maps/d/embed?mid=1W5Ue8wxEOh2bjMrbtG8HcwuhTs3-HXI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1uES9UfxYwRv3y6jBNTsDxwuyQwbpGBQs/view?usp=drive_link,31/7/2025,20/8/2025,Finalizado,,100,,60,25,25,,,,25,235,"$0,00","$19.638.000,00",,"$10.133.160,00","$3.682.125,00","$5.400.450,00","$0,00",,,"$3.927.600,00","$42.781.335,00"
